,price,power
0,29.999,237.0
1,30.3,237.0
2,31.429,310.0
3,31.999,310.0
4,32.0,237.0
5,32.0,237.0
6,32.0,237.0
7,32.099,310.0
8,32.188,237.0
9,32.397,237.0
10,32.49,237.0
11,32.5,237.0
12,32.549,310.0
13,32.7,237.0
14,32.805,310.0
15,32.88,237.0
16,32.887,237.0
17,32.895,310.0
18,32.965,237.0
19,32.977,310.0
20,32.979,237.0
21,32.985,237.0
22,32.988,237.0
23,32.99,237.0
24,32.99,237.0
25,32.99,310.0
26,32.995,237.0
27,32.995,237.0
28,32.995,237.0
29,32.996,237.0
30,32.997,237.0
31,32.998,310.0
32,32.999,237.0
33,33.0,237.0
34,33.0,237.0
35,33.0,310.0
36,33.046,237.0
37,33.06,237.0
38,33.137,237.0
39,33.191,237.0
40,33.275,237.0
41,33.291,237.0
42,33.39,237.0
43,33.5,237.0
44,33.5,237.0
45,33.5,237.0
46,33.597,237.0
47,33.7,310.0
48,33.75,237.0
49,33.785,237.0
50,33.852,237.0
51,33.888,237.0
52,33.9,310.0
53,33.989,237.0
54,33.99,237.0
55,33.99,237.0
56,33.992,237.0
57,33.995,310.0
58,33.996,237.0
59,33.996,237.0
60,33.997,310.0
61,33.998,237.0
62,33.998,237.0
63,33.999,237.0
64,34.0,237.0
65,34.0,237.0
66,34.0,237.0
67,34.0,237.0
68,34.0,237.0
69,34.0,237.0
70,34.089,237.0
71,34.1,237.0
72,34.104,310.0
73,34.224,310.0
74,34.23,237.0
75,34.249,237.0
76,34.287,237.0
77,34.29,237.0
78,34.305,237.0
79,34.373,310.0
80,34.393,237.0
81,34.396,237.0
82,34.405,310.0
83,34.409,237.0
84,34.468,237.0
85,34.473,237.0
86,34.491,237.0
87,34.495,237.0
88,34.497,237.0
89,34.497,237.0
90,34.498,237.0
91,34.5,237.0
92,34.549,237.0
93,34.581,237.0
94,34.588,310.0
95,34.596,237.0
96,34.622,237.0
97,34.68,310.0
98,34.688,237.0
99,34.699,237.0
100,34.727,237.0
101,34.779,237.0
102,34.788,237.0
103,34.799,310.0
104,34.8,237.0
105,34.8,237.0
106,34.832,237.0
107,34.85,237.0
108,34.885,310.0
109,34.894,237.0
110,34.9,237.0
111,34.936,237.0
112,34.97,237.0
113,34.98,310.0
114,34.987,237.0
115,34.988,237.0
116,34.989,237.0
117,34.99,237.0
118,34.99,237.0
119,34.992,237.0
120,34.994,237.0
121,34.995,237.0
122,34.997,237.0
123,34.998,237.0
124,34.998,237.0
125,34.998,237.0
126,34.998,237.0
127,34.998,237.0
128,34.999,237.0
129,34.999,237.0
130,35.0,237.0
131,35.0,237.0
132,35.0,237.0
133,35.0,237.0
134,35.0,237.0
135,35.0,237.0
136,35.0,310.0
137,35.104,237.0
138,35.171,237.0
139,35.185,237.0
140,35.302,237.0
141,35.348,237.0
142,35.35,237.0
143,35.41,310.0
144,35.49,237.0
145,35.49,310.0
146,35.498,237.0
147,35.499,237.0
148,35.499,237.0
149,35.5,237.0
150,35.5,237.0
151,35.5,310.0
152,35.528,237.0
153,35.544,237.0
154,35.555,237.0
155,35.577,237.0
156,35.588,237.0
157,35.595,237.0
158,35.615,310.0
159,35.618,237.0
160,35.626,237.0
161,35.65,237.0
162,35.657,237.0
163,35.684,237.0
164,35.7,237.0
165,35.784,310.0
166,35.785,310.0
167,35.788,310.0
168,35.792,237.0
169,35.799,310.0
170,35.8,237.0
171,35.822,237.0
172,35.84,237.0
173,35.863,237.0
174,35.87,237.0
175,35.87,237.0
176,35.88,237.0
177,35.88,237.0
178,35.88,237.0
179,35.889,237.0
180,35.889,310.0
181,35.897,310.0
182,35.9,237.0
183,35.9,237.0
184,35.9,237.0
185,35.9,237.0
186,35.9,237.0
187,35.911,237.0
188,35.949,237.0
189,35.949,237.0
190,35.95,237.0
191,35.955,237.0
192,35.965,237.0
193,35.98,237.0
194,35.98,237.0
195,35.981,237.0
196,35.987,237.0
197,35.987,310.0
198,35.988,237.0
199,35.988,237.0
200,35.988,310.0
201,35.99,237.0
202,35.991,310.0
203,35.995,237.0
204,35.995,237.0
205,35.995,237.0
206,35.995,237.0
207,35.995,237.0
208,35.995,310.0
209,35.996,237.0
210,35.996,237.0
211,35.996,237.0
212,35.996,310.0
213,35.997,310.0
214,35.998,237.0
215,35.998,237.0
216,35.998,237.0
217,35.998,237.0
218,35.998,237.0
219,35.998,237.0
220,35.998,237.0
221,35.998,237.0
222,35.998,237.0
223,35.998,237.0
224,35.998,237.0
225,35.998,237.0
226,35.998,237.0
227,35.998,237.0
228,35.998,237.0
229,35.998,237.0
230,35.998,237.0
231,35.998,237.0
232,35.999,237.0
233,35.999,237.0
234,35.999,237.0
235,35.999,237.0
236,35.999,237.0
237,35.999,310.0
238,35.999,310.0
239,35.999,310.0
240,36.0,237.0
241,36.0,237.0
242,36.0,237.0
243,36.0,237.0
244,36.0,237.0
245,36.0,310.0
246,36.001,310.0
247,36.053,310.0
248,36.106,237.0
249,36.148,237.0
250,36.159,237.0
251,36.188,310.0
252,36.199,310.0
253,36.216,237.0
254,36.25,237.0
255,36.25,237.0
256,36.25,237.0
257,36.264,310.0
258,36.299,310.0
259,36.3,237.0
260,36.359,237.0
261,36.388,310.0
262,36.39,237.0
263,36.4,237.0
264,36.415,310.0
265,36.457,237.0
266,36.464,237.0
267,36.467,237.0
268,36.477,237.0
269,36.477,237.0
270,36.479,237.0
271,36.49,237.0
272,36.495,237.0
273,36.495,237.0
274,36.495,237.0
275,36.495,237.0
276,36.497,310.0
277,36.498,310.0
278,36.5,237.0
279,36.5,237.0
280,36.5,237.0
281,36.5,237.0
282,36.5,237.0
283,36.5,237.0
284,36.5,237.0
285,36.5,237.0
286,36.5,237.0
287,36.5,310.0
288,36.5,310.0
289,36.527,237.0
290,36.55,237.0
291,36.576,237.0
292,36.59,237.0
293,36.59,237.0
294,36.59,237.0
295,36.596,237.0
296,36.597,237.0
297,36.606,237.0
298,36.611,310.0
299,36.626,237.0
300,36.66,237.0
301,36.661,237.0
302,36.69,237.0
303,36.7,237.0
304,36.7,237.0
305,36.7,237.0
306,36.721,310.0
307,36.744,237.0
308,36.744,237.0
309,36.744,237.0
310,36.749,237.0
311,36.75,237.0
312,36.795,237.0
313,36.807,237.0
314,36.85,310.0
315,36.856,237.0
316,36.885,237.0
317,36.895,237.0
318,36.899,237.0
319,36.9,237.0
320,36.9,237.0
321,36.9,237.0
322,36.95,237.0
323,36.95,237.0
324,36.955,310.0
325,36.959,237.0
326,36.967,310.0
327,36.971,237.0
328,36.988,237.0
329,36.988,237.0
330,36.988,237.0
331,36.99,237.0
332,36.99,237.0
333,36.99,310.0
334,36.99,310.0
335,36.99,310.0
336,36.992,237.0
337,36.995,237.0
338,36.995,237.0
339,36.995,237.0
340,36.995,237.0
341,36.995,237.0
342,36.995,237.0
343,36.995,237.0
344,36.996,237.0
345,36.997,237.0
346,36.997,237.0
347,36.998,237.0
348,36.998,237.0
349,36.998,237.0
350,36.998,237.0
351,36.998,237.0
352,36.998,237.0
353,36.998,237.0
354,36.998,237.0
355,36.998,237.0
356,36.998,237.0
357,36.998,237.0
358,36.998,237.0
359,36.998,237.0
360,36.998,237.0
361,36.999,237.0
362,36.999,237.0
363,36.999,237.0
364,36.999,310.0
365,37.0,237.0
366,37.0,237.0
367,37.0,237.0
368,37.0,237.0
369,37.0,237.0
370,37.0,237.0
371,37.009,310.0
372,37.085,237.0
373,37.157,237.0
374,37.242,237.0
375,37.291,237.0
376,37.37,237.0
377,37.375,237.0
378,37.39,310.0
379,37.404,310.0
380,37.428,237.0
381,37.44,310.0
382,37.441,237.0
383,37.447,237.0
384,37.45,237.0
385,37.47,237.0
386,37.48,237.0
387,37.493,237.0
388,37.495,237.0
389,37.496,237.0
390,37.496,237.0
391,37.496,237.0
392,37.498,237.0
393,37.498,237.0
394,37.499,237.0
395,37.5,237.0
396,37.5,237.0
397,37.5,237.0
398,37.5,310.0
399,37.504,310.0
400,37.506,237.0
401,37.512,310.0
402,37.539,237.0
403,37.54,310.0
404,37.548,310.0
405,37.549,310.0
