,price,power
0,19.995,287.0
1,21.995,287.0
2,22.0,287.0
3,22.016,287.0
4,22.995,287.0
5,23.375,287.0
6,23.487,363.0
7,23.5,287.0
8,23.544,292.0
9,23.888,287.0
10,23.9,287.0
11,23.991,287.0
12,23.994,287.0
13,23.995,287.0
14,23.999,287.0
15,23.999,287.0
16,23.999,363.0
17,24.3,363.0
18,24.381,287.0
19,24.518,287.0
20,24.795,287.0
21,24.887,363.0
22,24.888,287.0
23,24.953,287.0
24,24.98,287.0
25,24.99,287.0
26,24.99,287.0
27,24.99,292.0
28,24.992,287.0
29,24.995,287.0
30,24.995,287.0
31,24.995,287.0
32,24.995,287.0
33,24.997,287.0
34,24.998,287.0
35,24.999,287.0
36,24.999,287.0
37,24.999,287.0
38,24.999,287.0
39,24.999,287.0
40,24.999,287.0
41,24.999,287.0
42,24.999,287.0
43,25.0,287.0
44,25.165,287.0
45,25.165,287.0
46,25.25,287.0
47,25.254,292.0
48,25.337,287.0
49,25.477,287.0
50,25.481,363.0
51,25.488,287.0
52,25.499,287.0
53,25.5,287.0
54,25.5,287.0
55,25.5,287.0
56,25.51,363.0
57,25.55,287.0
58,25.553,287.0
59,25.644,287.0
60,25.646,287.0
61,25.688,287.0
62,25.78,363.0
63,25.795,287.0
64,25.797,287.0
65,25.866,287.0
66,25.881,363.0
67,25.883,363.0
68,25.897,287.0
69,25.9,287.0
70,25.9,287.0
71,25.9,287.0
72,25.948,287.0
73,25.95,287.0
74,25.966,287.0
75,25.971,287.0
76,25.986,287.0
77,25.988,287.0
78,25.99,287.0
79,25.99,287.0
80,25.99,287.0
81,25.995,287.0
82,25.995,287.0
83,25.996,287.0
84,25.998,363.0
85,25.999,287.0
86,25.999,287.0
87,25.999,287.0
88,26.0,287.0
89,26.0,287.0
90,26.0,287.0
91,26.0,287.0
92,26.0,287.0
93,26.0,287.0
94,26.0,287.0
95,26.068,287.0
96,26.124,287.0
97,26.261,287.0
98,26.39,287.0
99,26.466,287.0
100,26.473,287.0
101,26.489,287.0
102,26.495,287.0
103,26.499,287.0
104,26.5,287.0
105,26.5,287.0
106,26.5,287.0
107,26.5,363.0
108,26.599,287.0
109,26.601,287.0
110,26.677,287.0
111,26.695,300.0
112,26.699,287.0
113,26.758,287.0
114,26.76,287.0
115,26.775,287.0
116,26.775,287.0
117,26.776,287.0
118,26.795,363.0
119,26.799,287.0
120,26.8,287.0
121,26.802,287.0
122,26.881,292.0
123,26.888,287.0
124,26.896,287.0
125,26.898,287.0
126,26.9,287.0
127,26.9,287.0
128,26.9,287.0
129,26.9,287.0
130,26.945,287.0
131,26.96,287.0
132,26.981,363.0
133,26.99,287.0
134,26.99,292.0
135,26.995,287.0
136,26.995,287.0
137,26.995,363.0
138,26.998,363.0
139,26.998,363.0
140,26.998,363.0
141,26.999,287.0
142,26.999,287.0
143,27.0,287.0
144,27.0,287.0
145,27.0,287.0
146,27.0,287.0
147,27.0,287.0
148,27.188,287.0
149,27.188,363.0
150,27.25,287.0
151,27.299,287.0
152,27.338,287.0
153,27.472,287.0
154,27.491,287.0
155,27.493,287.0
156,27.495,363.0
157,27.497,287.0
158,27.499,287.0
159,27.5,287.0
160,27.5,287.0
161,27.55,287.0
162,27.551,287.0
163,27.587,287.0
164,27.591,287.0
165,27.592,287.0
166,27.594,287.0
