,price,power
0,18.9,283.0
1,19.5,283.0
2,19.608,283.0
3,19.8,172.0
4,19.977,172.0
5,19.989,172.0
6,19.995,172.0
7,19.995,283.0
8,20.497,172.0
9,20.745,172.0
10,20.765,172.0
11,20.9,283.0
12,20.966,172.0
13,20.999,283.0
14,21.0,172.0
15,21.0,172.0
16,21.0,172.0
17,21.243,172.0
18,21.399,283.0
19,21.432,172.0
20,21.497,283.0
21,21.5,172.0
22,21.7,172.0
23,21.9,283.0
24,21.975,283.0
25,21.977,172.0
26,21.99,172.0
27,21.99,172.0
28,21.994,283.0
29,21.997,283.0
30,22.292,172.0
31,22.34,283.0
32,22.423,283.0
33,22.499,292.0
34,22.5,283.0
35,22.536,172.0
36,22.574,283.0
37,22.576,303.0
38,22.834,172.0
39,22.841,303.0
40,22.891,303.0
41,22.892,172.0
42,22.9,172.0
43,22.991,283.0
44,22.995,283.0
45,22.995,292.0
46,22.999,292.0
47,22.999,292.0
48,23.178,283.0
49,23.194,283.0
50,23.243,303.0
51,23.335,303.0
52,23.335,303.0
53,23.335,303.0
54,23.403,292.0
55,23.423,303.0
56,23.43,283.0
57,23.48,292.0
58,23.5,292.0
59,23.65,172.0
60,23.7,292.0
61,23.726,283.0
62,23.79,283.0
63,23.874,172.0
64,23.875,292.0
65,23.887,292.0
66,23.888,292.0
67,23.892,172.0
68,23.95,292.0
69,23.99,283.0
70,23.99,283.0
71,23.99,303.0
72,23.995,172.0
73,23.999,172.0
74,23.999,283.0
75,23.999,292.0
76,23.999,292.0
77,24.0,283.0
78,24.289,292.0
79,24.488,283.0
80,24.499,292.0
81,24.53,283.0
82,24.533,283.0
83,24.55,292.0
84,24.609,303.0
85,24.788,283.0
86,24.788,292.0
87,24.892,283.0
88,24.897,303.0
89,24.9,292.0
90,24.9,292.0
91,24.939,283.0
92,24.954,303.0
93,24.988,283.0
94,24.994,292.0
95,24.995,172.0
96,24.995,172.0
97,24.995,292.0
98,24.995,292.0
99,24.995,292.0
100,24.995,292.0
101,24.995,292.0
102,24.995,292.0
103,24.997,292.0
104,24.999,292.0
105,25.0,303.0
106,25.152,283.0
107,25.157,292.0
108,25.17,172.0
109,25.247,292.0
110,25.326,303.0
111,25.423,303.0
112,25.45,292.0
113,25.458,283.0
114,25.499,292.0
115,25.5,292.0
116,25.5,292.0
117,25.5,292.0
118,25.563,172.0
119,25.587,292.0
120,25.75,303.0
121,25.755,292.0
122,25.765,292.0
123,25.779,292.0
124,25.79,172.0
125,25.849,292.0
126,25.881,303.0
127,25.899,303.0
128,25.9,303.0
129,25.913,303.0
130,25.925,292.0
131,25.949,283.0
132,25.968,292.0
133,25.977,303.0
134,25.98,283.0
135,25.995,292.0
136,25.995,292.0
137,25.998,292.0
138,25.999,292.0
139,26.0,303.0
140,26.069,283.0
141,26.069,283.0
142,26.123,292.0
143,26.225,283.0
144,26.234,292.0
145,26.365,292.0
146,26.389,293.0
147,26.499,292.0
148,26.5,292.0
149,26.5,292.0
150,26.5,292.0
151,26.57,303.0
152,26.588,283.0
153,26.691,292.0
154,26.736,283.0
155,26.749,303.0
156,26.763,283.0
157,26.765,292.0
158,26.765,292.0
159,26.765,292.0
160,26.771,283.0
161,26.81,283.0
162,26.848,292.0
163,26.86,172.0
164,26.9,292.0
165,26.925,283.0
166,26.988,292.0
167,26.99,283.0
168,26.99,283.0
169,26.99,283.0
170,26.99,283.0
171,26.991,295.0
172,26.995,292.0
173,26.995,292.0
174,26.999,303.0
175,27.0,293.0
176,27.063,292.0
177,27.217,292.0
178,27.357,292.0
179,27.414,292.0
180,27.449,283.0
181,27.485,300.0
182,27.493,292.0
