,price,power
0,229.495,591.0
1,231.995,591.0
2,237.711,591.0
3,238.9,591.0
4,239.9,591.0
5,239.995,591.0
6,239.999,591.0
7,244.9,591.0
8,245.95,591.0
9,248.0,591.0
10,249.9,602.0
11,259.9,591.0
12,259.9,602.0
13,289.665,591.0
14,324.9,680.0
15,328.9,680.0
16,329.8,710.0
17,329.9,680.0
18,339.413,602.0
19,339.995,710.0
20,350.698,680.0
21,357.554,680.0
22,364.9,789.0
23,366.995,789.0
24,367.995,789.0
25,369.9,710.0
26,379.9,789.0
27,388.9,789.0
28,389.9,789.0
29,399.9,789.0
30,409.996,789.0
31,420.398,789.0
32,420.996,711.0
33,424.9,711.0
34,428.9,711.0
35,448.9,789.0
36,459.0,711.0
37,459.8,789.0
38,459.995,789.0
39,460.0,711.0
40,469.9,711.0
41,469.9,711.0
42,469.995,711.0
43,470.0,711.0
44,489.0,711.0
45,489.909,711.0
46,495.0,711.0
47,529.997,789.0
