,price,power
0,15.881,128.0
1,15.991,128.0
2,16.173,128.0
3,16.25,158.0
4,16.391,128.0
5,16.481,128.0
6,16.639,128.0
7,16.655,128.0
8,16.99,128.0
9,16.99,128.0
10,16.998,128.0
11,16.998,128.0
12,16.998,128.0
13,17.599,128.0
14,17.6,128.0
15,17.677,158.0
16,17.788,128.0
17,17.82,128.0
18,17.92,128.0
19,17.945,128.0
20,17.95,128.0
21,17.988,128.0
22,17.99,158.0
23,17.99,158.0
24,17.993,130.0
25,17.998,128.0
26,17.999,128.0
27,18.319,130.0
28,18.319,130.0
29,18.395,158.0
30,18.475,158.0
31,18.494,158.0
32,18.499,158.0
33,18.5,158.0
34,18.599,128.0
35,18.599,130.0
36,18.599,158.0
37,18.758,158.0
38,18.792,128.0
39,18.796,128.0
40,18.8,158.0
41,18.819,128.0
42,18.835,158.0
43,18.895,174.0
44,18.896,128.0
45,18.897,158.0
46,18.9,158.0
47,18.9,158.0
48,18.9,158.0
49,18.9,158.0
50,18.9,158.0
51,18.9,158.0
52,18.941,158.0
53,18.95,158.0
54,18.96,158.0
55,18.975,158.0
56,18.977,158.0
57,18.98,158.0
58,18.988,141.0
59,18.99,128.0
60,18.99,141.0
61,18.99,158.0
62,18.991,128.0
63,18.993,158.0
64,18.994,158.0
65,18.995,128.0
66,18.998,128.0
67,19.1,158.0
68,19.122,158.0
69,19.199,158.0
70,19.291,158.0
71,19.291,158.0
72,19.291,158.0
73,19.297,158.0
74,19.299,158.0
75,19.333,158.0
76,19.359,158.0
77,19.444,128.0
78,19.447,158.0
79,19.461,158.0
80,19.488,141.0
81,19.49,141.0
82,19.494,158.0
83,19.495,158.0
84,19.495,174.0
85,19.499,128.0
86,19.499,128.0
87,19.499,158.0
88,19.5,128.0
89,19.5,158.0
90,19.5,158.0
91,19.5,158.0
92,19.555,158.0
93,19.591,158.0
94,19.6,158.0
95,19.7,158.0
96,19.719,158.0
97,19.792,158.0
98,19.8,158.0
99,19.854,130.0
100,19.873,158.0
101,19.873,158.0
102,19.881,141.0
103,19.888,158.0
104,19.888,174.0
105,19.895,158.0
106,19.898,158.0
107,19.899,158.0
108,19.9,158.0
109,19.9,158.0
110,19.9,174.0
111,19.93,158.0
112,19.93,158.0
113,19.95,128.0
114,19.955,158.0
115,19.964,128.0
116,19.964,128.0
117,19.966,158.0
118,19.971,158.0
119,19.977,130.0
120,19.981,158.0
121,19.984,158.0
122,19.988,158.0
123,19.989,158.0
124,19.99,128.0
125,19.99,141.0
126,19.99,192.0
127,19.991,141.0
128,19.994,158.0
129,19.994,158.0
130,19.995,141.0
131,19.995,158.0
132,19.995,158.0
133,19.995,158.0
134,19.995,158.0
135,19.998,158.0
136,19.999,128.0
137,19.999,158.0
138,19.999,158.0
139,19.999,158.0
140,19.999,158.0
141,19.999,180.0
142,20.0,158.0
143,20.0,158.0
144,20.012,158.0
145,20.015,128.0
146,20.015,128.0
147,20.048,158.0
