,price,power
0,25.97,300.0
1,26.7,300.0
2,26.7,300.0
3,27.483,300.0
4,27.977,300.0
5,27.99,295.0
6,27.991,300.0
7,27.998,300.0
8,27.998,300.0
9,28.1,300.0
10,28.58,295.0
11,28.692,300.0
12,28.888,300.0
13,28.988,295.0
14,28.988,300.0
15,28.995,295.0
16,28.995,300.0
17,29.22,300.0
18,29.5,295.0
19,29.788,300.0
20,29.82,300.0
21,29.886,300.0
22,29.888,300.0
23,29.95,295.0
24,29.991,300.0
25,29.995,300.0
26,29.998,295.0
27,30.215,300.0
28,30.304,295.0
29,30.305,295.0
30,30.484,295.0
31,30.488,300.0
32,30.495,295.0
33,30.499,295.0
34,30.5,295.0
35,30.502,300.0
36,30.605,295.0
37,30.605,295.0
38,30.615,295.0
39,30.699,295.0
40,30.75,295.0
41,30.792,300.0
42,30.8,300.0
43,30.95,295.0
44,30.969,295.0
45,30.977,295.0
46,30.977,295.0
47,30.99,295.0
48,30.99,300.0
49,30.99,300.0
50,30.995,295.0
51,30.995,295.0
52,30.995,300.0
53,30.996,300.0
54,30.998,300.0
55,30.998,300.0
56,30.998,300.0
57,30.998,300.0
58,31.0,295.0
59,31.0,295.0
60,31.0,295.0
61,31.0,295.0
62,31.0,295.0
63,31.0,295.0
64,31.088,300.0
65,31.098,295.0
66,31.098,295.0
67,31.188,300.0
68,31.2,295.0
69,31.265,295.0
70,31.277,295.0
71,31.277,295.0
72,31.299,295.0
73,31.377,295.0
74,31.377,295.0
75,31.39,295.0
76,31.392,295.0
77,31.395,295.0
78,31.399,295.0
79,31.4,295.0
80,31.444,300.0
81,31.45,300.0
82,31.469,295.0
83,31.476,295.0
84,31.476,295.0
85,31.477,295.0
86,31.477,295.0
87,31.477,295.0
88,31.477,295.0
89,31.477,295.0
90,31.477,295.0
91,31.477,295.0
92,31.477,295.0
93,31.477,295.0
94,31.477,295.0
95,31.48,295.0
96,31.49,300.0
97,31.495,295.0
98,31.495,295.0
99,31.498,295.0
100,31.532,295.0
101,31.555,295.0
102,31.595,295.0
103,31.599,295.0
104,31.599,295.0
105,31.601,295.0
106,31.637,295.0
107,31.645,295.0
108,31.668,300.0
109,31.699,295.0
110,31.699,300.0
111,31.7,295.0
112,31.7,300.0
113,31.746,295.0
114,31.75,295.0
115,31.75,295.0
116,31.75,300.0
117,31.768,295.0
118,31.788,300.0
119,31.79,295.0
120,31.799,295.0
121,31.799,295.0
122,31.799,295.0
123,31.845,295.0
124,31.85,295.0
125,31.898,300.0
126,31.899,295.0
127,31.9,300.0
128,31.95,295.0
129,31.964,295.0
130,31.974,295.0
131,31.976,295.0
132,31.977,295.0
133,31.977,295.0
134,31.977,295.0
135,31.977,295.0
136,31.977,295.0
137,31.977,295.0
138,31.977,295.0
139,31.977,295.0
140,31.977,295.0
141,31.977,295.0
142,31.977,295.0
143,31.977,295.0
144,31.977,295.0
145,31.977,295.0
146,31.977,295.0
147,31.977,295.0
148,31.98,295.0
149,31.989,295.0
150,31.99,295.0
151,31.99,295.0
152,31.99,295.0
153,31.99,295.0
154,31.995,295.0
155,31.995,295.0
156,31.995,295.0
157,31.995,300.0
158,31.996,295.0
159,31.997,300.0
160,31.997,300.0
161,31.998,295.0
162,31.998,295.0
163,31.998,295.0
164,31.998,300.0
165,31.998,300.0
166,31.998,300.0
167,32.0,295.0
168,32.077,295.0
169,32.109,295.0
170,32.121,295.0
171,32.149,295.0
172,32.175,295.0
173,32.177,295.0
174,32.195,295.0
175,32.195,295.0
176,32.199,295.0
177,32.277,295.0
178,32.277,295.0
179,32.277,295.0
180,32.277,295.0
181,32.277,295.0
182,32.277,295.0
183,32.277,295.0
184,32.277,295.0
185,32.277,295.0
186,32.295,295.0
187,32.327,295.0
188,32.329,295.0
189,32.377,295.0
190,32.39,295.0
191,32.395,295.0
192,32.397,295.0
193,32.397,295.0
194,32.399,295.0
195,32.44,295.0
196,32.441,295.0
197,32.477,295.0
198,32.477,295.0
199,32.477,295.0
200,32.477,295.0
201,32.477,295.0
202,32.477,295.0
203,32.477,295.0
204,32.483,300.0
205,32.484,300.0
206,32.489,295.0
207,32.49,295.0
208,32.493,295.0
209,32.494,295.0
210,32.499,295.0
211,32.499,295.0
212,32.5,295.0
213,32.539,295.0
214,32.545,295.0
215,32.577,295.0
216,32.577,295.0
217,32.577,295.0
218,32.587,295.0
219,32.59,295.0
220,32.59,295.0
221,32.591,300.0
222,32.597,295.0
223,32.598,295.0
224,32.599,295.0
225,32.6,295.0
226,32.65,295.0
227,32.7,295.0
228,32.777,295.0
229,32.777,295.0
230,32.777,295.0
231,32.777,295.0
232,32.777,295.0
233,32.777,295.0
234,32.777,295.0
235,32.777,295.0
236,32.79,295.0
237,32.8,295.0
238,32.875,295.0
239,32.877,295.0
240,32.881,300.0
241,32.89,295.0
242,32.897,295.0
243,32.899,295.0
244,32.9,295.0
245,32.918,300.0
246,32.95,295.0
247,32.95,295.0
248,32.957,295.0
249,32.977,295.0
250,32.977,295.0
251,32.977,295.0
252,32.977,295.0
253,32.977,295.0
254,32.977,295.0
255,32.977,295.0
256,32.977,295.0
257,32.977,295.0
258,32.977,295.0
259,32.977,295.0
260,32.977,295.0
261,32.983,295.0
262,32.985,295.0
263,32.99,295.0
264,32.991,268.0
265,32.991,295.0
266,32.995,295.0
267,32.995,295.0
268,32.995,295.0
269,32.998,295.0
270,32.998,295.0
271,32.998,300.0
272,32.999,295.0
273,33.0,300.0
274,33.048,295.0
275,33.077,295.0
276,33.099,295.0
277,33.132,300.0
278,33.194,295.0
279,33.195,295.0
280,33.2,300.0
281,33.25,295.0
282,33.25,300.0
