,price,power
0,33.999,246.0
1,33.999,246.0
2,34.998,247.0
3,34.999,246.0
4,34.999,246.0
5,34.999,246.0
6,34.999,246.0
7,34.999,246.0
8,34.999,246.0
9,34.999,246.0
10,34.999,246.0
11,35.988,296.0
12,35.999,246.0
13,35.999,246.0
14,35.999,246.0
15,35.999,246.0
16,35.999,246.0
17,36.246,247.0
18,36.7,246.0
19,36.7,246.0
20,36.777,246.0
21,36.9,246.0
22,36.977,296.0
23,36.99,296.0
24,36.995,247.0
25,36.995,296.0
26,36.999,246.0
27,36.999,246.0
28,36.999,246.0
29,36.999,246.0
30,37.515,247.0
31,37.597,247.0
32,37.7,246.0
33,37.837,247.0
34,37.898,247.0
35,37.957,247.0
36,37.99,247.0
37,37.994,247.0
38,37.997,247.0
39,37.998,247.0
40,37.999,246.0
41,37.999,246.0
42,37.999,246.0
43,37.999,247.0
44,37.999,247.0
45,37.999,247.0
46,38.069,247.0
47,38.195,247.0
48,38.225,247.0
49,38.25,247.0
50,38.288,247.0
51,38.304,247.0
52,38.477,247.0
53,38.49,246.0
54,38.498,247.0
55,38.499,247.0
56,38.595,247.0
57,38.75,247.0
58,38.87,247.0
59,38.944,246.0
60,38.977,247.0
61,38.977,247.0
62,38.977,247.0
63,38.977,247.0
64,38.977,247.0
65,38.998,247.0
66,38.999,246.0
67,38.999,246.0
68,38.999,246.0
69,38.999,247.0
70,38.999,247.0
71,38.999,247.0
72,38.999,247.0
73,39.0,296.0
74,39.158,247.0
75,39.277,247.0
76,39.345,247.0
77,39.377,247.0
78,39.38,247.0
79,39.442,247.0
80,39.477,247.0
81,39.477,247.0
82,39.477,247.0
83,39.477,247.0
84,39.477,247.0
85,39.477,247.0
86,39.66,247.0
87,39.66,247.0
88,39.777,247.0
89,39.832,247.0
90,39.888,246.0
91,39.888,246.0
92,39.899,247.0
93,39.9,296.0
94,39.977,247.0
95,39.977,247.0
96,39.977,247.0
97,39.977,247.0
98,39.977,247.0
99,39.983,296.0
100,39.988,247.0
101,39.988,247.0
102,39.991,296.0
103,39.995,246.0
104,39.995,246.0
105,39.995,247.0
106,39.996,247.0
107,39.999,247.0
108,40.0,296.0
109,40.464,246.0
110,40.609,247.0
111,40.618,247.0
112,40.7,247.0
113,40.75,247.0
114,40.829,247.0
115,40.891,247.0
116,40.988,247.0
117,40.988,247.0
118,40.991,247.0
119,40.991,296.0
120,40.995,296.0
121,40.999,246.0
122,40.999,247.0
123,40.999,296.0
124,41.0,296.0
125,41.2,296.0
126,41.345,247.0
127,41.488,296.0
128,41.499,247.0
