,price,power
0,89.9,422.0
1,95.795,422.0
2,95.816,422.0
3,99.878,422.0
4,102.595,422.0
5,102.595,422.0
6,102.8,422.0
7,103.85,422.0
8,104.69,422.0
9,105.345,422.0
10,105.395,422.0
11,105.795,422.0
12,105.795,422.0
13,106.295,422.0
14,108.095,422.0
15,108.595,422.0
16,109.245,422.0
17,109.345,422.0
18,109.8,422.0
19,109.8,422.0
20,109.995,422.0
21,110.895,422.0
22,113.75,422.0
23,114.0,422.0
24,114.0,422.0
25,115.695,422.0
26,117.0,422.0
27,117.045,422.0
28,117.195,422.0
29,117.895,422.0
30,118.395,422.0
31,119.845,422.0
32,123.795,422.0
33,126.045,422.0
