,price,power
0,19.0,134.0
1,19.127,134.0
2,19.99,134.0
3,19.995,134.0
4,19.998,134.0
5,20.0,134.0
6,20.25,134.0
7,20.859,134.0
8,20.99,134.0
9,21.51,134.0
10,22.0,134.0
11,22.369,134.0
12,22.45,134.0
13,22.488,134.0
14,22.65,189.0
15,22.695,134.0
16,22.9,134.0
17,22.982,134.0
18,22.995,134.0
19,22.995,134.0
20,22.995,134.0
21,22.999,134.0
22,22.999,134.0
23,23.0,134.0
24,23.0,134.0
25,23.095,134.0
26,23.488,134.0
27,23.489,134.0
28,23.495,134.0
29,23.6,134.0
30,23.6,134.0
31,23.6,134.0
32,23.695,189.0
33,23.864,134.0
34,23.888,134.0
35,23.9,134.0
36,23.99,134.0
37,23.99,134.0
38,23.991,134.0
39,23.995,189.0
40,23.997,134.0
41,24.0,134.0
42,24.0,134.0
43,24.007,134.0
44,24.391,134.0
45,24.4,134.0
46,24.482,134.0
47,24.483,134.0
48,24.608,134.0
49,24.655,134.0
50,24.69,134.0
51,24.7,134.0
52,24.744,134.0
53,24.8,134.0
54,24.888,134.0
55,24.9,134.0
56,24.9,134.0
57,24.9,134.0
58,24.9,134.0
59,24.9,134.0
60,24.92,189.0
61,24.985,134.0
62,24.988,134.0
63,24.99,134.0
64,24.991,134.0
65,24.993,134.0
66,24.997,134.0
67,24.998,134.0
68,24.998,134.0
69,25.0,134.0
70,25.26,134.0
71,25.324,134.0
72,25.325,134.0
73,25.334,134.0
74,25.483,134.0
75,25.483,134.0
76,25.491,134.0
77,25.495,134.0
78,25.499,134.0
79,25.5,189.0
80,25.533,134.0
81,25.695,134.0
82,25.699,134.0
83,25.7,134.0
84,25.75,189.0
85,25.755,134.0
86,25.778,134.0
87,25.791,134.0
88,25.91,189.0
89,25.956,189.0
90,25.991,134.0
91,25.995,134.0
92,25.995,189.0
93,25.995,189.0
94,25.996,134.0
95,25.998,134.0
96,25.999,134.0
97,25.999,134.0
98,25.999,134.0
99,25.999,134.0
100,26.0,189.0
101,26.299,189.0
102,26.33,134.0
103,26.493,134.0
104,26.5,189.0
