,price,power
0,43.49,345.0
1,44.49,345.0
2,56.995,345.0
3,57.95,345.0
4,57.95,345.0
5,58.8,345.0
6,58.988,424.0
7,58.99,424.0
8,58.995,424.0
9,59.99,424.0
10,60.991,345.0
11,62.778,424.0
12,62.977,424.0
13,62.995,424.0
14,64.991,424.0
15,64.995,345.0
16,64.995,345.0
17,64.999,424.0
18,65.985,424.0
19,67.75,424.0
20,67.89,424.0
21,67.943,424.0
22,67.95,424.0
23,67.972,424.0
24,67.988,424.0
25,67.998,424.0
26,68.185,424.0
27,68.185,424.0
28,68.899,424.0
29,68.995,424.0
30,69.363,424.0
31,69.8,424.0
32,69.89,424.0
33,69.9,424.0
34,69.95,424.0
35,69.995,424.0
36,70.5,424.0
37,70.8,424.0
38,72.845,345.0
39,74.895,345.0
40,75.0,345.0
41,75.035,345.0
42,76.185,345.0
43,76.785,345.0
44,90.085,424.0
