,price,power
0,16.999,186.0
1,17.124,186.0
2,17.285,186.0
3,17.395,186.0
4,17.995,186.0
5,18.296,186.0
6,18.88,148.0
7,18.888,186.0
8,18.995,186.0
9,18.999,186.0
10,19.195,187.0
11,19.295,187.0
12,19.49,148.0
13,19.49,148.0
14,19.495,186.0
15,19.5,186.0
16,19.583,186.0
17,19.595,186.0
18,19.76,186.0
19,19.842,187.0
20,19.888,186.0
21,19.914,186.0
22,19.936,186.0
23,19.945,148.0
24,19.965,186.0
25,19.977,186.0
26,19.98,186.0
27,19.98,187.0
28,19.988,148.0
29,19.988,148.0
30,19.991,186.0
31,19.993,186.0
32,19.993,186.0
33,19.995,186.0
34,19.995,186.0
35,19.995,186.0
36,19.998,148.0
37,19.999,186.0
38,20.0,186.0
39,20.077,186.0
40,20.15,148.0
41,20.222,186.0
42,20.374,186.0
43,20.418,186.0
44,20.444,148.0
45,20.444,186.0
46,20.488,186.0
47,20.495,186.0
48,20.499,186.0
49,20.5,186.0
50,20.503,186.0
51,20.588,186.0
52,20.75,186.0
53,20.775,186.0
54,20.777,148.0
55,20.777,186.0
56,20.795,148.0
57,20.795,186.0
58,20.799,186.0
59,20.826,186.0
60,20.888,186.0
61,20.888,186.0
62,20.888,186.0
63,20.888,187.0
64,20.891,186.0
65,20.9,186.0
66,20.922,148.0
67,20.925,186.0
68,20.95,186.0
69,20.966,186.0
70,20.988,186.0
71,20.988,186.0
72,20.988,186.0
73,20.988,186.0
74,20.988,187.0
75,20.988,187.0
76,20.988,187.0
77,20.989,186.0
78,20.99,187.0
79,20.994,186.0
80,20.994,186.0
81,20.995,186.0
82,20.995,186.0
83,20.995,187.0
84,20.999,186.0
85,20.999,187.0
86,21.0,186.0
87,21.0,186.0
88,21.0,187.0
89,21.0,187.0
90,21.0,187.0
91,21.0,187.0
92,21.066,186.0
93,21.15,187.0
94,21.3,186.0
95,21.327,148.0
96,21.375,187.0
97,21.391,186.0
98,21.391,186.0
99,21.397,187.0
100,21.399,186.0
101,21.4,186.0
102,21.4,187.0
103,21.4,187.0
104,21.42,186.0
105,21.444,186.0
106,21.444,186.0
107,21.45,186.0
108,21.477,186.0
109,21.49,186.0
110,21.49,186.0
111,21.495,186.0
112,21.497,187.0
113,21.499,186.0
114,21.5,186.0
115,21.5,186.0
116,21.5,186.0
117,21.5,186.0
118,21.537,186.0
119,21.537,186.0
120,21.564,187.0
121,21.588,186.0
122,21.588,186.0
123,21.597,187.0
124,21.599,187.0
125,21.656,186.0
126,21.699,186.0
127,21.7,187.0
128,21.704,187.0
129,21.706,187.0
130,21.726,186.0
131,21.74,148.0
132,21.771,186.0
133,21.777,186.0
134,21.778,187.0
135,21.785,148.0
136,21.797,187.0
137,21.8,186.0
138,21.8,187.0
139,21.859,187.0
140,21.888,186.0
141,21.888,186.0
142,21.897,187.0
143,21.897,187.0
144,21.9,186.0
145,21.9,186.0
146,21.9,186.0
147,21.92,187.0
148,21.937,186.0
149,21.94,187.0
150,21.95,186.0
151,21.95,187.0
152,21.966,187.0
153,21.975,186.0
154,21.982,186.0
155,21.988,186.0
156,21.988,186.0
157,21.988,186.0
158,21.988,187.0
159,21.99,186.0
160,21.99,187.0
161,21.994,187.0
162,21.995,186.0
163,21.995,186.0
164,21.995,186.0
165,21.995,186.0
166,21.995,186.0
167,21.995,186.0
168,21.995,187.0
169,21.995,187.0
170,21.995,187.0
171,21.997,187.0
172,21.998,186.0
173,21.999,187.0
174,22.0,186.0
175,22.0,186.0
176,22.0,187.0
177,22.02,186.0
178,22.097,187.0
179,22.138,187.0
180,22.145,186.0
181,22.148,187.0
182,22.189,187.0
183,22.197,187.0
184,22.25,187.0
185,22.269,187.0
186,22.27,187.0
187,22.271,187.0
188,22.275,187.0
189,22.275,187.0
190,22.297,187.0
191,22.297,187.0
192,22.297,187.0
193,22.297,187.0
194,22.3,186.0
195,22.32,186.0
196,22.336,186.0
197,22.388,187.0
198,22.397,187.0
199,22.397,187.0
200,22.4,186.0
201,22.4,186.0
202,22.402,187.0
203,22.403,187.0
204,22.42,187.0
205,22.444,148.0
206,22.45,187.0
207,22.477,187.0
208,22.491,186.0
209,22.497,186.0
210,22.497,187.0
211,22.497,187.0
212,22.499,186.0
213,22.5,186.0
214,22.5,186.0
215,22.5,186.0
216,22.5,186.0
217,22.5,187.0
218,22.502,186.0
219,22.509,148.0
220,22.54,187.0
221,22.589,187.0
222,22.597,187.0
223,22.598,186.0
224,22.598,187.0
225,22.599,186.0
226,22.599,187.0
227,22.66,187.0
228,22.668,187.0
229,22.685,187.0
230,22.69,187.0
231,22.697,187.0
232,22.697,187.0
233,22.697,187.0
234,22.697,187.0
235,22.697,187.0
236,22.697,187.0
237,22.699,186.0
238,22.7,186.0
239,22.7,187.0
240,22.701,187.0
241,22.74,187.0
242,22.75,187.0
243,22.774,186.0
244,22.775,148.0
245,22.797,187.0
246,22.797,187.0
247,22.797,187.0
248,22.797,187.0
249,22.797,187.0
250,22.798,187.0
251,22.799,187.0
252,22.8,186.0
253,22.85,186.0
254,22.863,186.0
255,22.864,186.0
256,22.866,187.0
