,price,power
0,48.9,248.0
1,49.4,248.0
2,50.988,248.0
3,51.498,248.0
4,51.7,248.0
5,51.898,248.0
6,51.9,248.0
7,51.928,248.0
8,51.995,248.0
9,51.995,248.0
10,52.496,248.0
11,52.517,248.0
12,52.99,248.0
13,52.995,248.0
14,52.995,248.0
15,52.999,248.0
16,53.165,248.0
17,53.498,248.0
18,53.807,248.0
19,53.9,248.0
20,53.995,248.0
21,53.995,248.0
22,53.998,248.0
23,54.0,248.0
24,54.316,248.0
25,54.438,248.0
26,54.479,248.0
27,54.77,248.0
28,54.9,248.0
29,54.9,248.0
30,54.9,248.0
31,54.991,248.0
32,54.995,248.0
33,54.998,248.0
34,55.499,248.0
35,55.689,248.0
36,55.88,248.0
37,55.88,248.0
38,55.88,248.0
39,55.9,248.0
40,55.9,248.0
41,55.9,248.0
42,55.9,248.0
43,55.99,248.0
44,55.99,248.0
45,55.99,248.0
46,55.99,248.0
47,55.995,248.0
48,55.998,248.0
49,56.0,248.0
50,56.13,248.0
51,56.405,248.0
52,56.43,248.0
53,56.595,248.0
54,56.598,248.0
55,56.795,248.0
56,56.96,248.0
57,56.995,248.0
58,56.998,248.0
59,56.999,248.0
60,57.0,248.0
61,57.122,248.0
62,57.338,248.0
63,57.43,248.0
64,57.846,248.0
65,57.983,248.0
66,57.988,248.0
67,57.995,248.0
68,58.0,248.0
69,58.444,248.0
70,58.459,248.0
71,58.46,248.0
72,58.47,248.0
73,58.48,248.0
74,58.686,248.0
75,58.944,248.0
76,58.95,248.0
77,58.95,248.0
78,58.95,248.0
79,58.95,248.0
80,58.995,248.0
81,58.995,248.0
82,59.0,248.0
83,59.48,248.0
84,59.69,248.0
85,59.71,248.0
86,59.9,248.0
87,59.95,248.0
88,59.99,248.0
89,59.991,248.0
90,59.995,248.0
91,59.995,248.0
92,59.995,248.0
93,59.995,348.0
94,59.998,248.0
95,60.33,248.0
96,60.33,248.0
97,60.33,248.0
98,60.62,248.0
99,60.83,248.0
100,60.988,248.0
101,61.014,248.0
102,61.03,248.0
103,61.03,248.0
104,61.03,248.0
105,61.07,248.0
106,61.58,248.0
107,61.58,248.0
108,61.679,248.0
109,61.84,248.0
110,61.89,248.0
111,61.93,248.0
112,61.97,248.0
113,61.979,248.0
114,61.99,348.0
115,61.995,248.0
116,61.995,348.0
117,61.995,348.0
118,61.995,348.0
119,62.169,248.0
120,62.266,248.0
121,62.35,248.0
122,62.459,248.0
123,62.582,335.0
124,62.582,335.0
125,62.791,335.0
126,62.799,248.0
127,62.995,248.0
128,62.995,248.0
129,62.995,348.0
130,62.995,348.0
131,63.08,248.0
132,63.099,248.0
133,63.329,248.0
134,63.687,248.0
135,63.709,248.0
136,63.889,248.0
137,63.9,335.0
138,63.93,248.0
139,63.99,335.0
140,63.991,335.0
141,63.995,248.0
142,63.995,335.0
143,63.995,348.0
144,64.02,248.0
145,64.2,248.0
146,64.21,248.0
147,64.33,248.0
148,64.48,335.0
149,64.669,248.0
150,64.69,248.0
151,64.73,248.0
152,64.8,248.0
153,64.9,348.0
154,64.9,348.0
155,64.93,248.0
156,64.98,248.0
157,64.988,335.0
158,64.99,248.0
159,64.99,348.0
160,64.991,335.0
161,64.995,248.0
162,65.202,348.0
163,65.229,248.0
164,65.309,248.0
165,65.429,248.0
166,65.459,248.0
167,65.52,248.0
168,65.869,248.0
169,65.899,248.0
