,price,power
0,20.45,178.0
1,20.777,178.0
2,21.28,178.0
3,21.79,178.0
4,21.9,178.0
5,23.4,178.0
6,23.5,178.0
7,23.988,280.0
8,23.989,178.0
9,23.99,178.0
10,23.995,178.0
11,24.0,280.0
12,24.399,280.0
13,24.5,280.0
14,24.8,178.0
15,24.9,280.0
16,24.995,178.0
17,25.39,280.0
18,25.675,280.0
19,25.871,280.0
20,25.99,395.0
21,25.995,280.0
22,26.391,395.0
23,26.571,395.0
24,26.75,280.0
25,26.888,280.0
26,26.951,395.0
27,26.988,280.0
28,26.991,280.0
29,26.995,280.0
30,26.995,280.0
31,26.995,280.0
32,26.995,280.0
33,27.0,280.0
34,27.024,280.0
35,27.092,280.0
36,27.42,395.0
37,27.497,395.0
38,27.72,395.0
39,27.74,395.0
40,27.777,395.0
41,27.888,395.0
42,27.95,280.0
43,27.988,395.0
44,27.991,395.0
45,27.994,395.0
46,27.995,280.0
47,27.997,395.0
48,28.115,280.0
49,28.212,395.0
50,28.299,395.0
51,28.3,395.0
52,28.369,395.0
53,28.4,395.0
54,28.497,395.0
55,28.5,395.0
56,28.592,395.0
57,28.605,395.0
58,28.66,280.0
59,28.699,395.0
60,28.711,395.0
61,28.751,395.0
62,28.88,395.0
63,28.888,395.0
64,28.9,280.0
65,28.977,395.0
66,28.991,395.0
67,28.991,395.0
68,28.994,395.0
69,28.995,395.0
70,28.997,395.0
71,28.999,280.0
72,29.35,395.0
73,29.375,280.0
74,29.5,395.0
75,29.656,395.0
76,29.7,395.0
77,29.777,395.0
78,29.78,395.0
79,29.795,395.0
80,29.799,395.0
81,29.8,280.0
82,29.858,395.0
83,29.859,395.0
84,29.867,280.0
85,29.877,395.0
86,29.888,395.0
87,29.895,395.0
88,29.9,280.0
89,29.9,395.0
90,29.9,395.0
91,29.915,395.0
92,29.947,395.0
93,29.948,395.0
94,29.949,395.0
95,29.975,395.0
96,29.99,395.0
97,29.991,395.0
98,29.995,395.0
99,29.995,395.0
100,29.998,395.0
101,29.998,395.0
102,30.033,395.0
103,30.08,395.0
104,30.18,395.0
105,30.199,395.0
106,30.199,395.0
107,30.28,395.0
108,30.331,395.0
109,30.478,395.0
110,30.48,395.0
111,30.49,395.0
112,30.5,395.0
113,30.56,395.0
114,30.573,395.0
115,30.6,395.0
116,30.6,395.0
117,30.68,395.0
118,30.7,395.0
119,30.7,395.0
120,30.741,395.0
121,30.78,395.0
122,30.79,395.0
123,30.802,395.0
124,30.88,395.0
125,30.888,395.0
126,30.895,395.0
127,30.9,395.0
128,30.95,395.0
129,30.98,395.0
130,30.98,395.0
131,30.995,395.0
132,30.997,395.0
133,30.998,395.0
134,30.998,395.0
135,30.998,395.0
136,30.999,395.0
137,30.999,395.0
138,31.0,395.0
139,31.0,395.0
140,31.0,395.0
141,31.0,395.0
142,31.0,395.0
143,31.0,395.0
144,31.0,395.0
145,31.0,395.0
146,31.0,395.0
147,31.08,395.0
148,31.08,395.0
149,31.08,395.0
150,31.29,395.0
151,31.342,395.0
152,31.391,395.0
153,31.475,395.0
154,31.48,395.0
155,31.49,395.0
156,31.499,395.0
157,31.5,395.0
158,31.5,395.0
159,31.5,395.0
160,31.5,395.0
161,31.573,395.0
162,31.595,395.0
163,31.698,395.0
164,31.75,395.0
165,31.768,395.0
166,31.775,395.0
167,31.777,395.0
168,31.792,395.0
169,31.877,395.0
170,31.877,395.0
171,31.888,395.0
172,31.9,395.0
173,31.9,395.0
174,31.9,395.0
175,31.9,395.0
176,31.911,395.0
177,31.95,395.0
178,31.988,395.0
179,31.99,395.0
180,31.99,395.0
181,31.99,395.0
182,31.991,395.0
183,31.994,395.0
184,31.996,395.0
185,31.996,395.0
186,31.996,395.0
187,31.996,395.0
188,31.996,395.0
189,31.998,395.0
190,31.998,395.0
191,31.999,280.0
192,31.999,395.0
193,31.999,395.0
194,32.0,395.0
195,32.0,395.0
196,32.0,395.0
197,32.0,395.0
198,32.0,395.0
199,32.0,395.0
200,32.0,395.0
201,32.0,395.0
202,32.0,395.0
203,32.0,395.0
204,32.099,395.0
205,32.185,395.0
206,32.2,395.0
207,32.222,395.0
208,32.224,280.0
209,32.23,395.0
210,32.25,395.0
211,32.292,395.0
212,32.3,395.0
213,32.329,395.0
214,32.39,395.0
