,price,power
0,14.769,106.0
1,14.999,106.0
2,15.319,106.0
3,15.5,106.0
4,15.5,106.0
5,15.988,106.0
6,16.142,106.0
7,16.199,106.0
8,16.5,106.0
9,16.574,106.0
10,16.677,106.0
11,16.705,106.0
12,16.713,106.0
13,16.788,106.0
14,16.799,106.0
15,16.9,106.0
16,16.909,106.0
17,16.909,106.0
18,16.91,106.0
19,16.91,106.0
20,16.98,106.0
21,16.991,106.0
22,16.991,106.0
23,16.991,106.0
24,16.998,106.0
25,16.999,106.0
26,17.0,106.0
27,17.292,106.0
28,17.311,106.0
29,17.327,106.0
30,17.402,106.0
31,17.44,106.0
32,17.48,106.0
33,17.488,106.0
34,17.499,106.0
35,17.5,106.0
36,17.5,106.0
37,17.5,106.0
38,17.508,106.0
39,17.598,106.0
40,17.684,106.0
41,17.705,106.0
42,17.705,106.0
43,17.75,106.0
44,17.8,106.0
45,17.853,106.0
46,17.853,106.0
47,17.888,106.0
48,17.915,106.0
49,17.983,106.0
50,17.988,106.0
51,17.99,106.0
52,17.991,106.0
53,17.991,106.0
54,17.991,106.0
55,17.993,106.0
56,17.995,106.0
57,18.358,106.0
58,18.493,106.0
59,18.493,106.0
60,18.676,106.0
61,18.705,106.0
62,18.705,106.0
63,18.705,106.0
64,18.705,106.0
65,18.705,106.0
66,18.778,106.0
67,18.785,106.0
68,18.842,144.0
69,18.952,168.0
70,18.974,168.0
71,18.977,106.0
72,18.988,106.0
73,18.991,106.0
74,18.999,144.0
75,18.999,168.0
76,19.334,106.0
77,19.342,106.0
78,19.404,106.0
79,19.445,168.0
80,19.488,168.0
81,19.5,144.0
82,19.5,168.0
83,19.619,144.0
84,19.677,168.0
85,19.705,106.0
86,19.705,106.0
87,19.705,106.0
88,19.705,106.0
89,19.705,106.0
90,19.881,144.0
91,19.9,168.0
92,19.959,168.0
93,19.977,106.0
94,19.98,168.0
95,19.989,106.0
96,19.991,144.0
97,19.999,106.0
98,20.0,144.0
99,20.0,168.0
100,20.007,144.0
101,20.007,144.0
102,20.007,144.0
103,20.131,144.0
104,20.131,144.0
105,20.199,144.0
106,20.368,144.0
107,20.368,144.0
108,20.37,168.0
109,20.377,144.0
110,20.404,144.0
111,20.414,144.0
112,20.418,144.0
113,20.424,168.0
114,20.432,144.0
115,20.452,144.0
116,20.458,144.0
117,20.476,144.0
118,20.481,144.0
119,20.481,144.0
120,20.481,144.0
121,20.487,144.0
122,20.547,144.0
123,20.567,144.0
124,20.567,144.0
125,20.567,144.0
126,20.615,144.0
127,20.635,144.0
128,20.699,144.0
129,20.729,168.0
130,20.788,144.0
131,20.82,168.0
132,20.857,144.0
133,20.864,144.0
134,20.864,144.0
135,20.864,144.0
136,20.864,144.0
137,20.899,168.0
138,20.9,144.0
139,20.934,168.0
140,20.945,144.0
141,20.991,144.0
142,20.991,144.0
143,20.993,144.0
144,20.994,168.0
145,20.995,144.0
146,20.997,168.0
147,20.998,144.0
148,20.998,144.0
149,20.999,144.0
150,20.999,168.0
151,21.0,144.0
152,21.013,144.0
153,21.017,168.0
154,21.113,168.0
155,21.263,168.0
156,21.265,144.0
157,21.291,168.0
158,21.322,168.0
159,21.34,168.0
160,21.4,144.0
161,21.44,144.0
162,21.447,144.0
163,21.49,144.0
164,21.491,144.0
165,21.495,168.0
166,21.575,168.0
167,21.661,144.0
168,21.749,144.0
169,21.875,168.0
170,21.888,144.0
171,21.949,144.0
172,21.95,295.0
173,21.981,144.0
174,21.991,168.0
175,21.996,144.0
176,21.996,144.0
177,21.997,168.0
178,21.998,144.0
179,21.999,168.0
180,22.0,144.0
181,22.045,144.0
182,22.162,144.0
183,22.202,144.0
184,22.216,144.0
185,22.225,144.0
186,22.229,144.0
187,22.287,144.0
188,22.32,144.0
189,22.32,144.0
190,22.33,144.0
191,22.367,144.0
192,22.419,144.0
193,22.442,168.0
194,22.449,144.0
195,22.5,144.0
196,22.5,168.0
197,22.505,144.0
198,22.554,144.0
199,22.554,144.0
200,22.554,144.0
201,22.582,144.0
202,22.593,168.0
203,22.607,144.0
204,22.646,144.0
205,22.646,144.0
206,22.646,144.0
207,22.726,168.0
208,22.862,144.0
209,22.912,144.0
210,22.932,202.0
211,22.938,144.0
212,22.983,144.0
213,22.99,144.0
214,22.991,168.0
215,22.995,144.0
216,22.998,144.0
217,22.999,144.0
218,22.999,168.0
219,22.999,296.0
220,23.0,168.0
221,23.038,144.0
222,23.079,144.0
223,23.109,144.0
224,23.114,144.0
225,23.114,144.0
226,23.141,144.0
227,23.166,144.0
228,23.169,144.0
229,23.169,144.0
230,23.2,144.0
231,23.212,144.0
232,23.212,144.0
233,23.213,144.0
234,23.223,168.0
235,23.25,144.0
236,23.25,144.0
237,23.25,144.0
238,23.25,144.0
239,23.25,144.0
240,23.25,144.0
241,23.25,144.0
242,23.298,144.0
243,23.313,144.0
244,23.348,144.0
245,23.362,144.0
246,23.362,144.0
247,23.372,144.0
248,23.377,144.0
249,23.377,144.0
250,23.392,144.0
251,23.395,144.0
252,23.412,144.0
253,23.413,144.0
254,23.417,144.0
255,23.417,144.0
256,23.438,144.0
257,23.49,168.0
258,23.495,296.0
259,23.527,144.0
260,23.594,144.0
261,23.648,168.0
262,23.68,144.0
263,23.68,144.0
264,23.688,144.0
265,23.688,144.0
266,23.74,159.0
267,23.778,144.0
268,23.778,144.0
269,23.785,144.0
270,23.785,296.0
271,23.792,144.0
272,23.881,144.0
273,23.9,168.0
274,23.9,168.0
275,23.912,144.0
276,23.944,168.0
277,23.944,168.0
278,23.966,144.0
279,23.988,144.0
280,23.988,144.0
281,23.99,144.0
282,23.991,144.0
283,23.994,144.0
284,23.997,144.0
285,23.997,144.0
286,23.999,168.0
287,24.033,168.0
288,24.033,168.0
289,24.059,144.0
290,24.059,144.0
291,24.062,144.0
292,24.108,159.0
293,24.113,168.0
294,24.113,168.0
295,24.171,144.0
296,24.196,144.0
