,price,power
0,15.799,147.0
1,15.9,147.0
2,15.9,147.0
3,15.9,147.0
4,15.9,147.0
5,15.9,147.0
6,15.9,147.0
7,15.991,147.0
8,16.625,147.0
9,16.625,147.0
10,16.625,147.0
11,16.625,147.0
12,16.625,147.0
13,16.888,147.0
14,16.977,147.0
15,16.977,147.0
16,16.991,147.0
17,16.995,147.0
18,17.0,147.0
19,17.19,147.0
20,17.425,147.0
21,17.499,147.0
22,17.499,147.0
23,17.499,147.0
24,17.5,147.0
25,17.5,147.0
26,17.5,147.0
27,17.5,147.0
28,17.5,147.0
29,17.5,147.0
30,17.5,147.0
31,17.59,174.0
32,17.607,147.0
33,17.798,147.0
34,17.799,147.0
35,17.891,147.0
36,17.891,147.0
37,17.9,147.0
38,17.9,147.0
39,17.972,147.0
40,17.976,147.0
41,17.977,147.0
42,17.98,147.0
43,17.986,147.0
44,17.988,147.0
45,17.99,147.0
46,17.995,147.0
47,17.995,147.0
48,17.995,147.0
49,17.995,174.0
50,18.0,147.0
51,18.175,147.0
52,18.203,147.0
53,18.326,147.0
54,18.381,147.0
55,18.395,147.0
56,18.4,147.0
57,18.427,174.0
58,18.488,147.0
59,18.494,174.0
60,18.498,174.0
61,18.5,147.0
62,18.5,174.0
63,18.673,147.0
64,18.71,174.0
65,18.8,174.0
66,18.9,147.0
67,18.974,147.0
68,18.989,174.0
69,18.99,147.0
70,18.994,147.0
71,18.995,147.0
72,18.995,147.0
73,18.995,174.0
74,18.997,147.0
75,19.0,147.0
76,19.0,174.0
77,19.08,147.0
78,19.334,147.0
79,19.35,147.0
80,19.375,174.0
81,19.477,174.0
82,19.481,147.0
83,19.489,184.0
84,19.495,147.0
85,19.495,147.0
86,19.5,147.0
87,19.5,174.0
88,19.56,174.0
89,19.609,147.0
90,19.681,184.0
91,19.681,184.0
92,19.681,184.0
93,19.682,147.0
94,19.699,147.0
95,19.815,147.0
96,19.88,147.0
97,19.881,174.0
98,19.881,184.0
99,19.881,184.0
100,19.899,147.0
101,19.9,147.0
102,19.912,147.0
103,19.922,147.0
104,19.981,184.0
105,19.984,147.0
106,19.99,147.0
107,19.995,147.0
108,19.995,147.0
109,19.995,174.0
110,19.995,174.0
111,19.995,174.0
112,19.995,174.0
113,19.995,174.0
114,19.998,147.0
115,19.999,147.0
116,19.999,174.0
117,20.0,147.0
118,20.0,184.0
119,20.133,184.0
120,20.133,184.0
121,20.17,147.0
122,20.295,147.0
123,20.43,147.0
124,20.5,174.0
125,20.5,174.0
126,20.5,174.0
127,20.546,174.0
128,20.599,174.0
129,20.6,147.0
130,20.68,147.0
131,20.698,174.0
132,20.799,184.0
133,20.84,147.0
134,20.899,147.0
135,20.9,147.0
136,20.9,184.0
137,20.926,184.0
138,20.95,147.0
139,20.95,184.0
140,20.988,184.0
141,20.99,174.0
142,20.99,184.0
143,20.991,147.0
144,20.991,174.0
145,20.993,174.0
146,20.994,184.0
147,20.995,147.0
148,20.995,184.0
149,20.995,184.0
150,20.997,147.0
151,20.999,174.0
152,20.999,184.0
153,21.0,174.0
154,21.0,184.0
155,21.1,147.0
156,21.11,147.0
157,21.161,174.0
158,21.161,174.0
159,21.195,184.0
160,21.199,184.0
161,21.245,147.0
162,21.278,184.0
163,21.287,147.0
164,21.308,184.0
165,21.31,147.0
166,21.31,184.0
167,21.35,184.0
168,21.35,184.0
169,21.354,184.0
170,21.363,184.0
171,21.37,147.0
172,21.393,184.0
173,21.395,184.0
174,21.395,184.0
175,21.398,184.0
176,21.4,174.0
177,21.415,147.0
178,21.421,147.0
179,21.428,184.0
180,21.462,184.0
181,21.47,147.0
182,21.47,147.0
183,21.47,147.0
184,21.472,174.0
185,21.482,184.0
186,21.49,184.0
187,21.49,184.0
188,21.49,184.0
189,21.491,184.0
190,21.491,184.0
191,21.491,184.0
192,21.492,184.0
193,21.499,147.0
194,21.5,174.0
195,21.5,174.0
196,21.5,184.0
197,21.5,184.0
198,21.5,184.0
199,21.511,174.0
200,21.511,174.0
201,21.511,174.0
202,21.534,147.0
203,21.575,184.0
204,21.599,184.0
205,21.607,184.0
206,21.61,184.0
207,21.664,174.0
208,21.681,184.0
209,21.687,184.0
210,21.687,184.0
211,21.687,184.0
212,21.699,184.0
213,21.747,174.0
214,21.757,184.0
215,21.792,184.0
216,21.799,174.0
217,21.82,147.0
218,21.832,184.0
219,21.832,184.0
220,21.838,184.0
221,21.846,184.0
222,21.851,184.0
223,21.9,147.0
224,21.9,147.0
225,21.9,184.0
226,21.9,184.0
227,21.939,147.0
228,21.95,174.0
229,21.957,174.0
230,21.96,184.0
231,21.97,174.0
232,21.975,174.0
233,21.977,184.0
234,21.983,184.0
235,21.985,184.0
236,21.988,184.0
237,21.99,174.0
238,21.991,147.0
239,21.991,147.0
240,21.991,147.0
241,21.991,147.0
242,21.991,174.0
243,21.991,184.0
244,21.991,184.0
245,21.991,184.0
246,21.992,184.0
247,21.995,147.0
248,21.995,174.0
249,21.995,174.0
250,21.996,184.0
251,21.997,184.0
252,21.998,147.0
253,21.998,184.0
254,21.998,184.0
255,21.998,184.0
256,21.999,147.0
257,21.999,174.0
258,21.999,184.0
259,21.999,184.0
260,21.999,184.0
261,21.999,184.0
262,21.999,184.0
263,22.0,184.0
264,22.0,184.0
265,22.052,184.0
266,22.052,184.0
267,22.052,184.0
268,22.128,184.0
269,22.157,184.0
270,22.177,147.0
271,22.212,184.0
272,22.228,147.0
273,22.25,147.0
274,22.261,147.0
275,22.269,147.0
276,22.299,184.0
277,22.357,147.0
278,22.403,174.0
279,22.455,147.0
280,22.455,147.0
281,22.49,174.0
282,22.494,184.0
283,22.499,184.0
284,22.499,184.0
285,22.5,147.0
286,22.5,174.0
287,22.5,184.0
288,22.5,184.0
289,22.506,184.0
290,22.507,174.0
291,22.588,184.0
292,22.595,184.0
293,22.597,184.0
294,22.65,174.0
295,22.66,147.0
296,22.672,184.0
297,22.682,184.0
298,22.684,174.0
299,22.691,184.0
300,22.699,174.0
301,22.7,174.0
302,22.7,184.0
303,22.7,184.0
304,22.75,184.0
305,22.777,174.0
306,22.777,174.0
307,22.784,184.0
308,22.85,184.0
309,22.866,174.0
310,22.879,147.0
311,22.881,174.0
312,22.883,184.0
313,22.888,147.0
314,22.888,174.0
315,22.888,184.0
316,22.9,147.0
317,22.925,184.0
318,22.95,147.0
319,22.987,184.0
320,22.988,174.0
321,22.99,184.0
322,22.992,174.0
323,22.994,184.0
324,22.995,147.0
325,22.995,174.0
326,22.995,184.0
327,22.997,174.0
328,22.998,184.0
329,22.998,184.0
330,22.998,184.0
331,22.998,184.0
332,22.998,184.0
333,22.999,147.0
334,22.999,174.0
335,22.999,184.0
336,23.0,174.0
337,23.0,184.0
338,23.0,184.0
339,23.0,184.0
340,23.0,184.0
341,23.0,184.0
342,23.0,184.0
343,23.0,184.0
344,23.0,184.0
345,23.001,174.0
346,23.027,184.0
347,23.032,174.0
348,23.052,184.0
349,23.052,184.0
350,23.052,184.0
351,23.052,184.0
352,23.052,184.0
353,23.052,184.0
354,23.063,184.0
355,23.103,184.0
356,23.104,184.0
357,23.25,184.0
358,23.265,147.0
359,23.267,184.0
360,23.277,184.0
361,23.277,184.0
362,23.277,184.0
363,23.29,184.0
364,23.323,184.0
365,23.399,174.0
366,23.399,184.0
367,23.4,184.0
368,23.439,184.0
369,23.455,184.0
370,23.484,184.0
371,23.499,184.0
372,23.499,184.0
373,23.5,184.0
374,23.5,184.0
375,23.5,184.0
376,23.536,184.0
377,23.543,184.0
378,23.561,184.0
379,23.577,184.0
380,23.59,184.0
381,23.591,184.0
382,23.627,184.0
383,23.635,147.0
384,23.79,184.0
385,23.799,184.0
386,23.812,174.0
387,23.813,147.0
388,23.82,147.0
389,23.843,184.0
390,23.846,174.0
391,23.855,184.0
392,23.858,174.0
393,23.876,184.0
394,23.897,184.0
395,23.897,184.0
396,23.899,147.0
397,23.899,147.0
398,23.899,147.0
399,23.9,147.0
400,23.9,174.0
401,23.9,184.0
402,23.9,184.0
403,23.9,184.0
404,23.933,184.0
405,23.958,174.0
406,23.962,174.0
407,23.983,184.0
408,23.985,184.0
409,23.987,184.0
410,23.989,184.0
411,23.989,228.0
412,23.99,184.0
413,23.99,184.0
414,23.991,174.0
415,23.995,174.0
416,23.995,184.0
417,23.995,184.0
418,23.995,184.0
419,23.996,184.0
420,23.996,184.0
421,23.998,147.0
422,23.998,184.0
423,23.999,147.0
424,23.999,147.0
425,23.999,174.0
426,23.999,184.0
427,23.999,184.0
428,24.0,184.0
429,24.0,184.0
430,24.0,184.0
431,24.055,174.0
432,24.056,174.0
433,24.096,147.0
434,24.15,174.0
435,24.196,174.0
436,24.198,184.0
437,24.235,174.0
438,24.235,174.0
439,24.25,184.0
440,24.259,184.0
441,24.291,184.0
442,24.304,184.0
443,24.382,147.0
444,24.398,174.0
445,24.4,174.0
446,24.4,184.0
447,24.41,147.0
448,24.45,184.0
449,24.481,184.0
450,24.482,184.0
451,24.49,184.0
452,24.491,174.0
453,24.497,174.0
454,24.499,184.0
455,24.5,174.0
456,24.5,184.0
457,24.5,184.0
458,24.5,184.0
459,24.5,184.0
460,24.5,184.0
461,24.5,184.0
462,24.5,184.0
463,24.5,184.0
464,24.536,184.0
465,24.565,184.0
466,24.569,184.0
467,24.569,184.0
468,24.599,184.0
469,24.627,184.0
470,24.65,184.0
471,24.695,147.0
472,24.695,184.0
473,24.704,184.0
474,24.71,147.0
475,24.722,184.0
476,24.724,184.0
477,24.731,184.0
478,24.749,147.0
479,24.75,147.0
480,24.762,174.0
481,24.777,184.0
482,24.789,184.0
483,24.799,184.0
484,24.8,184.0
485,24.812,174.0
