,price,power
0,23.9,250.0
1,24.45,316.0
2,27.99,316.0
3,28.5,316.0
4,28.5,316.0
5,28.694,316.0
6,28.75,316.0
7,28.799,316.0
8,28.905,316.0
9,28.988,316.0
10,28.988,316.0
11,28.99,316.0
12,28.995,316.0
13,28.999,187.0
14,29.5,250.0
15,29.5,316.0
16,29.696,250.0
17,29.9,316.0
18,29.95,316.0
19,29.988,316.0
20,29.988,316.0
21,29.991,316.0
22,29.991,316.0
23,29.991,316.0
24,29.995,316.0
25,29.999,316.0
26,29.999,316.0
27,30.391,316.0
28,30.4,316.0
29,30.5,316.0
30,30.544,316.0
31,30.757,316.0
32,30.9,316.0
33,30.99,316.0
34,30.992,316.0
35,30.995,316.0
36,30.998,316.0
37,30.998,316.0
38,31.035,316.0
39,31.073,316.0
40,31.477,187.0
41,31.49,316.0
42,31.495,316.0
43,31.5,316.0
44,31.79,316.0
45,31.79,316.0
46,31.829,316.0
47,31.84,250.0
48,31.884,316.0
49,31.9,187.0
50,31.95,316.0
51,31.979,316.0
52,31.985,316.0
53,31.99,316.0
54,31.99,316.0
55,31.995,316.0
56,31.998,316.0
57,31.998,316.0
58,31.998,316.0
59,31.998,316.0
60,31.998,316.0
61,31.998,316.0
62,31.998,316.0
63,31.998,316.0
64,31.998,316.0
65,31.998,316.0
66,32.0,250.0
67,32.0,316.0
68,32.295,250.0
69,32.323,316.0
70,32.43,316.0
71,32.47,316.0
72,32.495,250.0
73,32.495,250.0
74,32.498,250.0
75,32.498,316.0
76,32.5,250.0
77,32.5,316.0
78,32.59,316.0
79,32.595,316.0
80,32.688,316.0
81,32.79,316.0
82,32.8,316.0
83,32.8,316.0
84,32.9,187.0
85,32.9,316.0
86,32.956,248.0
87,32.971,250.0
88,32.98,316.0
89,32.982,316.0
90,32.982,316.0
91,32.983,316.0
92,32.988,316.0
93,32.988,316.0
94,32.988,316.0
95,32.988,316.0
96,32.988,316.0
97,32.988,316.0
98,32.988,316.0
99,32.99,316.0
100,32.991,250.0
101,32.995,316.0
102,32.998,316.0
103,32.999,316.0
104,33.0,250.0
105,33.0,250.0
106,33.0,316.0
107,33.0,316.0
108,33.0,316.0
109,33.0,316.0
110,33.195,250.0
111,33.297,250.0
112,33.3,316.0
113,33.49,187.0
114,33.5,316.0
115,33.55,187.0
116,33.6,316.0
117,33.695,316.0
118,33.72,250.0
119,33.795,250.0
120,33.943,316.0
121,33.977,250.0
122,33.982,316.0
123,33.988,316.0
124,33.988,316.0
125,33.988,316.0
126,33.991,316.0
127,33.994,250.0
128,33.995,187.0
129,33.995,316.0
130,33.998,187.0
131,33.998,187.0
132,34.116,316.0
133,34.346,316.0
134,34.4,316.0
135,34.49,316.0
136,34.595,187.0
137,34.595,250.0
138,34.632,250.0
139,34.688,316.0
140,34.689,316.0
141,34.9,316.0
142,34.9,316.0
143,34.971,316.0
144,34.981,316.0
145,34.988,316.0
146,34.989,250.0
147,34.99,316.0
148,34.991,250.0
149,34.995,316.0
150,34.995,316.0
151,34.999,250.0
152,34.999,250.0
153,34.999,316.0
154,34.999,316.0
155,35.5,250.0
156,35.5,316.0
157,35.545,316.0
158,35.741,250.0
159,35.925,316.0
160,35.95,316.0
161,35.95,316.0
162,35.981,316.0
163,35.984,316.0
164,35.99,316.0
165,35.99,316.0
166,35.995,316.0
167,35.998,316.0
168,36.0,316.0
169,36.0,316.0
170,36.077,250.0
171,36.45,316.0
172,36.488,250.0
173,36.488,316.0
174,36.488,316.0
175,36.49,250.0
176,36.599,316.0
177,36.6,316.0
178,36.88,250.0
179,36.885,248.0
180,36.9,250.0
181,36.9,316.0
182,36.9,316.0
183,36.925,316.0
184,36.963,316.0
185,36.979,248.0
186,36.988,248.0
187,36.988,250.0
188,36.988,250.0
189,36.988,250.0
190,36.988,316.0
191,36.988,316.0
192,36.994,316.0
193,36.995,316.0
194,36.998,250.0
195,36.999,316.0
196,36.999,316.0
197,36.999,316.0
198,36.999,316.0
199,37.0,250.0
200,37.069,248.0
201,37.08,316.0
202,37.2,250.0
203,37.279,248.0
204,37.295,316.0
205,37.336,187.0
206,37.488,250.0
207,37.488,316.0
208,37.488,316.0
209,37.488,316.0
210,37.488,316.0
211,37.488,316.0
212,37.488,316.0
213,37.488,316.0
214,37.488,316.0
215,37.49,187.0
216,37.5,250.0
217,37.5,250.0
218,37.5,250.0
219,37.699,248.0
220,37.74,250.0
221,37.75,250.0
222,37.78,248.0
223,37.799,248.0
224,37.8,248.0
225,37.823,250.0
226,37.883,316.0
227,37.884,250.0
228,37.895,316.0
229,37.9,187.0
230,37.9,248.0
231,37.9,316.0
232,37.969,316.0
233,37.977,316.0
234,37.988,250.0
235,37.988,250.0
236,37.988,250.0
237,37.988,250.0
238,37.988,250.0
239,37.988,316.0
240,37.988,316.0
241,37.988,316.0
242,37.988,316.0
243,37.988,316.0
244,37.988,316.0
245,37.99,316.0
246,37.996,316.0
247,37.999,316.0
248,38.0,187.0
249,38.051,316.0
250,38.059,316.0
251,38.085,250.0
252,38.388,250.0
253,38.406,316.0
254,38.491,250.0
255,38.5,316.0
256,38.5,316.0
257,38.587,316.0
258,38.588,248.0
259,38.699,316.0
260,38.75,316.0
